Field,Value
asn,AS202425
isp,FiberXpress BV
tags,"LAMP | ssh | honeytrap | sentrypeer | Telnet | webscanner, bruteforce, web app attack | ipphoney | probing | dionaea | cowrie | scanner | webscan | badrequest | sftp | webscanner | suricata | p0f | tanner | SSH | Adbhoney | tpot | dropper | scan | bruteforce | mailoney | adb | honeypot | sensor-tagged | sip | botnet | cisco | scanning | android | heralding | conpot | login | email | sipvicious | Redishoneypot | malicious | fatt | attack"
domain,fiberxpress.net
is_bot,False
is_tor,False
is_vpn,False
country,Netherlands
sources,AlienVault OTX | VirusTotal | GreyNoise | AbuseIPDB
asn_name,ip volume inc
is_proxy,False
